icao_code,iata_code,name,city,country,altitude,lat_decimal,lon_decimal,id
CYXL,YXL,SIOUX LOOKOUT,SIOUX LOOKOUT,CANADA,391,50.114,-91.904,288
CYXN,YXN,N/A,WHALE COVE,CANADA,0,0,0,289
CYXP,YXP,PANGNIRTUNG,PANGNIRTUNG,CANADA,23,66.145,-65.714,290
CYXR,YXR,TIMISKAMING RGNL,EARLTON,CANADA,244,47.695,-79.849,291
CYXS,YXS,PRINCE GEORGE,PRINCE GEORGE,CANADA,691,53.889,-122.679,292
CYXT,YXT,TERRACE,TERRACE,CANADA,218,54.466,-128.577,293
CYXU,YXU,LONDON,LONDON,CANADA,278,43.036,-81.154,294
CYXX,YXX,ABBOTSFORD,ABBOTSFORD,CANADA,58,49.025,-122.363,295
CYXY,YXY,WHITEHORSE INTERNATIONAL,WHITEHORSE,CANADA,707,60.709,-135.068,296
CYYB,YYB,NORTH BAY,NORTH BAY,CANADA,371,46.364,-79.423,297
CYYC,YYC,CALGARY INTERNATIONAL,CALGARY,CANADA,1085,51.114,-114.02,298
CYYD,YYD,SMITHERS,SMITHERS,CANADA,522,54.825,-127.183,299
CYYE,YYE,FORT NELSON,FORT NELSON,CANADA,382,58.836,-122.597,300
CYYF,YYF,PENTICTON,PENTICTON,CANADA,345,49.463,-119.602,301
CYYG,YYG,CHARLOTTETOWN,CHARLOTTETOWN,CANADA,49,46.29,-63.121,302
CYYH,YYH,TALOYOAK,SPENCE BAY,CANADA,29,69.547,-93.577,303
CYYJ,YYJ,VICTORIA INTERNATIONAL,VICTORIA,CANADA,20,48.647,-123.426,304
CYYL,YYL,LYNN LAKE,LYNN LAKE,CANADA,357,56.864,-101.076,305
CYYN,YYN,SWIFT CURRENT,SWIFT CURRENT,CANADA,817,50.292,-107.691,306
CYYQ,YYQ,CHURCHILL,CHURCHILL,CANADA,29,58.739,-94.065,307
CYYR,YYR,GOOSE BAY,GOOSE BAY,CANADA,49,53.319,-60.426,308
CYYT,YYT,ST JOHNS INTERNATIONAL,ST. JOHN'S,CANADA,141,47.619,-52.752,309
CYYU,YYU,KAPUSKASING,KAPUSKASING,CANADA,227,49.414,-82.468,310
CYYW,YYW,ARMSTRONG,ARMSTRONG,CANADA,323,50.29,-88.91,311
CYYY,YYY,MONT JOLI,MONT JOLI,CANADA,53,48.609,-68.208,312
CYYZ,YYZ,LESTER B PEARSON INTERNATIONAL,TORONTO,CANADA,174,43.677,-79.631,313
CYZA,N/A,N/A,ASHCROFT,CANADA,0,0,0,314
